#  New York (Central Park), New York 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
Date,Value
189512,52.2
189601,52.1
189602,52.5
189603,52.2
189604,52.4
189605,52.7
189606,52.4
189607,52.8
189608,52.8
189609,52.4
189610,52.6
189611,52.7
189612,52.4
189701,52.4
189702,52.6
189703,53.3
189704,53.1
189705,52.6
189706,52.4
189707,52.4
189708,52.1
189709,52.1
189710,52.3
189711,52
189712,52.3
189801,52.7
189802,53
189803,53.4
189804,53.2
189805,53
189806,53.3
189807,53.3
189808,53.5
189809,53.9
189810,54.1
189811,54.1
189812,53.8
189901,53.5
189902,52.8
189903,52.1
189904,52.3
189905,52.6
189906,52.8
189907,52.8
189908,52.8
189909,52.4
189910,52.4
189911,52.4
189912,52.7
190001,52.8
190002,53
190003,52.6
190004,52.6
190005,52.4
190006,52.1
190007,52.2
190008,52.3
190009,52.7
190010,52.9
190011,53.1
190012,52.9
190101,53
190102,52.6
190103,53
190104,52.9
190105,52.7
190106,52.7
190107,52.8
190108,52.7
190109,52.4
190110,52
190111,51.2
190112,51.2
190201,51
190202,51.3
190203,51.8
190204,52
190205,52.1
190206,51.8
190207,51.3
190208,51.1
190209,50.9
190210,51.1
190211,52
190212,51.7
190301,51.7
190302,52.1
190303,52.4
190304,52.5
190305,52.9
190306,52.7
190307,52.8
190308,52.6
190309,52.6
190310,52.6
190311,51.9
190312,51.8
190401,51.4
190402,50.7
190403,49.7
190404,49.2
190405,49.2
190406,49.7
190407,49.6
190408,49.9
190409,49.8
190410,49.4
190411,49.4
190412,49.2
190501,49.5
190502,49.4
190503,49.7
190504,50
190505,49.7
190506,49.6
190507,49.8
190508,50
190509,50.2
190510,50.7
190511,50.8
190512,51.5
190601,52.3
190602,52.9
190603,52.5
190604,52.7
190605,52.9
190606,53.2
190607,53.2
190608,53.4
190609,53.5
190610,53.3
190611,53.5
190612,53.1
190701,52.8
190702,52.2
190703,52.8
190704,52.3
190705,51.8
190706,51.4
190707,51.3
190708,51
190709,51
190710,50.6
190711,50.6
190712,51
190801,50.8
190802,51.1
190803,51.1
190804,51.6
190805,52.2
190806,52.5
190807,52.6
190808,52.5
190809,52.5
190810,53.2
190811,53.2
190812,53
190901,53.1
190902,53.9
190903,53.5
190904,53.3
190905,53.1
190906,53.1
190907,52.8
190908,52.8
190909,52.6
190910,52.2
190911,52.6
190912,52.3
191001,52.1
191002,51.4
191003,51.9
191004,52.4
191005,52.5
191006,52.2
191007,52.5
191008,52.5
191009,52.7
191010,53.1
191011,52.5
191012,52.2
191101,52.6
191102,52.8
191103,52.2
191104,51.7
191105,52
191106,52.2
191107,52.3
191108,52.4
191109,52.3
191110,52.1
191111,52.1
191112,53
191201,52
191202,51.8
191203,52
191204,52.1
191205,51.9
191206,51.8
191207,51.7
191208,51.5
191209,51.4
191210,51.7
191211,52.2
191212,52.1
191301,53.6
191302,53.8
191303,54.4
191304,54.5
191305,54.4
191306,54.5
191307,54.5
191308,54.7
191309,54.5
191310,54.4
191311,54.4
191312,54.3
191401,53.6
191402,53.1
191403,52.4
191404,52
191405,52.3
191406,52.2
191407,51.9
191408,52
191409,52.1
191410,52.2
191411,52
191412,51.4
191501,51.6
191502,52.5
191503,52.5
191504,53
191505,52.6
191506,52.5
191507,52.7
191508,52.4
191509,52.7
191510,52.5
191511,52.7
191512,52.8
191601,53
191602,52.3
191603,51.9
191604,51.4
191605,51.6
191606,51.4
191607,51.6
191608,51.8
191609,51.6
191610,51.6
191611,51.6
191612,51.6
191701,51.4
191702,51.4
191703,52
191704,52
191705,51.4
191706,51.8
191707,51.8
191708,51.9
191709,51.6
191710,51.2
191711,50.9
191712,50.1
191801,49.2
191802,49.4
191803,49.6
191804,49.8
191805,50.7
191806,50.5
191807,50.4
191808,50.4
191809,50.5
191810,51
191811,51.4
191812,52.6
191901,53.7
191902,54.1
191903,54.2
191904,54.1
191905,53.9
191906,54.1
191907,54.2
191908,53.7
191909,54
191910,54.1
191911,54
191912,53.2
192001,52.2
192002,51.7
192003,51.5
192004,51.4
192005,51.1
192006,51
192007,51
192008,51.3
192009,51.4
192010,51.6
192011,51.6
192012,52.2
192101,53
192102,53.5
192103,54.2
192104,54.9
192105,55.1
192106,55.2
192107,55.5
192108,55.3
192109,55.6
192110,55.2
192111,55.2
192112,54.8
192201,54.4
192202,54.4
192203,53.7
192204,53.3
192205,53.6
192206,53.7
192207,53.4
192208,53.5
192209,53.1
192210,53.3
192211,53.4
192212,53.4
192301,53.6
192302,53
192303,52.6
192304,52.5
192305,52.1
192306,52.2
192307,52.2
192308,52.1
192309,52.1
192310,51.9
192311,51.8
192312,52.5
192401,52.7
192402,52.8
192403,53
192404,52.8
192405,52.6
192406,52.2
192407,52.2
192408,52.3
192409,52
192410,52.1
192411,52
192412,51.3
192501,51
192502,51.7
192503,52.1
192504,52.4
192505,52.6
192506,53.1
192507,53.1
192508,53
192509,53.4
192510,52.8
192511,52.8
192512,52.9
192601,53.2
192602,52.4
192603,51.7
192604,51.4
192605,51.4
192606,50.8
192607,50.9
192608,50.9
192609,50.7
192610,51.1
192611,51.1
192612,50.7
192701,50.6
192702,51.2
192703,51.8
192704,51.9
192705,51.8
192706,51.8
192707,51.7
192708,51.3
192709,51.5
192710,51.8
192711,52.2
192712,52.8
192801,53.1
192802,52.8
192803,52.5
192804,52.4
192805,52.5
192806,52.5
192807,52.6
192808,53.2
192809,52.9
192810,52.9
192811,52.7
192812,53
192901,52.8
192902,52.8
192903,53.3
192904,53.5
192905,53.7
192906,54.1
192907,54.1
192908,53.9
192909,54.3
192910,53.9
192911,53.8
192912,53.5
193001,53.6
193002,54
193003,53.6
193004,53.4
193005,53.5
193006,53.7
193007,53.8
193008,53.8
193009,54
193010,54.1
193011,54
193012,53.9
193101,53.9
193102,53.6
193103,53.6
193104,53.8
193105,53.6
193106,53.4
193107,53.5
193108,53.6
193109,53.7
193110,54.1
193111,54.7
193112,55.2
193201,56.1
193202,56.3
193203,56
193204,55.8
193205,55.9
193206,55.9
193207,55.8
193208,55.9
193209,55.6
193210,55.4
193211,54.7
193212,54.6
193301,54.3
193302,54.2
193303,54.3
193304,54.4
193305,54.6
193306,54.8
193307,54.8
193308,54.6
193309,54.7
193310,54.5
193311,54.3
193312,53.8
193401,53.4
193402,52.2
193403,52.1
193404,52.1
193405,52.1
193406,52.2
193407,52.3
193408,52.1
193409,52.1
193410,51.9
193411,52.5
193412,52.6
193501,52.1
193502,53
193503,53.5
193504,53.5
193505,53.2
193506,52.9
193507,52.8
193508,53
193509,52.7
193510,53
193511,52.9
193512,52.7
193601,52.7
193602,52.2
193603,52.4
193604,52.2
193605,52.6
193606,52.6
193607,52.5
193608,52.6
