#  New York (Central Park), New York January Maximum Temperature
# Units: Degrees Fahrenheit
Date,Value
189501,35.2
189601,34
189701,34.8
189801,39.3
189901,35.7
190001,36.9
190101,36.2
190201,34.4
190301,34.7
190401,29.1
190501,33
190601,41.5
190701,39.8
190801,37.6
190901,37.9
191001,36.6
191101,41.2
191201,28.9
191301,46.5
191401,36.5
191501,38.5
191601,41.9
191701,37.9
191801,26
191901,40.2
192001,29.1
192101,39.1
192201,32.7
192301,34.5
192401,38.7
192501,33.2
192601,36.5
192701,36.1
192801,39.3
192901,37.1
193001,37.9
193101,37.5
193201,46.9
193301,45
193401,39.1
193501,34.4
193601,33.6
193701,45
193801,36.6
193901,36.1
194001,29.3
194101,33.9
194201,35.8
194301,35.5
194401,38.3
194501,30.8
194601,39.5
194701,42.4
194801,29.5
194901,42.9
195001,47.4
195101,41.7
195201,41.7
195301,41.7
195401,36.4
195501,35
195601,35.6
195701,33.1
195801,35.8
195901,36.4
196001,37.2
196101,30.9
196201,37.4
196301,34.5
196401,40.1
196501,33.9
196601,36.4
196701,40.9
196801,31
196901,35.1
197001,29.3
197101,30.8
197201,39.8
197301,39.9
197401,39.1
197501,41.1
197601,32.5
197701,26
197801,32.2
197901,38.5
198001,37.6
198101,30.6
198201,30.9
198301,38
198401,33.5
198501,33
198601,39.2
198701,35.8
198801,34.1
198901,42.3
199001,45.9
199101,39.6
199201,40.9
199301,40.9
199401,31.5
199501,41.5
199601,37
199701,39.2
199801,45.8
199901,40.8
200001,37.9
200101,38.8
200201,45.4
200301,32.9
200401,31
200501,37.4
200601,47.6
200701,43.6
200801,42.4
200901,33.4
201001,38.1
201101,34.8
201201,44.2
201301,40.8
201401,35.5
201501,36.1
201601,40.8
201701,42.8
201801,38.7
201901,39
202001,45.2
202101,39.7
202201,37.1
202301,48.7
202401,42
202501,36.6
